state_fp,county_fp,avg_walkability_index,avg_intersection_density,avg_proximity_to_transit,avg_employment_mix,avg_employment_household_mix,block_groups
4,25,7.1287,34.6963,651.516,0.6316,0.4845,114
4,27,10.0129,77.351,556.9827,0.4297,0.4369,142
5,1,6.1667,39.0527,NA,0.5117,0.5663,21
5,3,5.1587,10.5648,NA,0.4722,0.5717,21
5,5,6.0333,23.3596,NA,0.6126,0.4685,30
5,7,6.622,37.244,NA,0.5777,0.5165,138
5,9,6.4348,27.7098,NA,0.6267,0.5555,23
5,11,5.25,11.015,NA,0.4728,0.5929,12
5,13,4.5333,1.7146,NA,0.4256,0.6039,5
5,15,5.1019,6.696,NA,0.5574,0.4878,18
5,17,5.9306,25.1869,NA,0.5131,0.582,12
5,19,6.3158,49.7858,NA,0.5142,0.5449,19
5,21,5.1667,12.0846,NA,0.4368,0.5265,19
5,23,5.7424,18.3372,NA,0.6011,0.5046,22
5,25,3.4583,1.255,NA,0.4294,0.4119,8
5,27,5.8636,16.9749,NA,0.5735,0.6025,11
5,29,4.6548,11.5816,NA,0.5267,0.4546,14
5,31,6.9361,56.4464,NA,0.5472,0.5517,60
5,33,5.9608,30.1726,NA,0.5375,0.4948,34
5,35,8.8611,54.4454,499.1084,0.4755,0.5159,42
5,37,5.8725,36.083,NA,0.5267,0.5245,17
5,39,5.4074,10.448,NA,0.5016,0.6034,9
5,41,6.0833,20.0862,NA,0.6321,0.5988,14
5,43,5.0833,21.5913,NA,0.4665,0.5142,18
5,45,6.625,48.4594,NA,0.5786,0.5322,60
5,47,5.3205,10.4263,NA,0.6296,0.5022,13
5,49,4.0417,6.1217,NA,0.4554,0.3786,12
5,51,7.3238,55.211,NA,0.5878,0.5594,70
5,53,4.359,6.9831,NA,0.4509,0.4428,13
5,55,5.7885,39.9689,NA,0.4849,0.4963,26
5,57,5.8083,26.5258,NA,0.5069,0.5845,20
5,59,5.7361,35.4037,NA,0.4947,0.4886,24
5,61,5.7222,18.4247,NA,0.5073,0.573,12
5,63,5.4762,22.4222,NA,0.5266,0.5139,28
5,65,5.3333,7.6244,NA,0.5897,0.5075,10
5,67,5.8725,30.546,NA,0.5279,0.5345,17
5,69,6.8169,80.6078,NA,0.467,0.4585,71
5,71,5.3611,21.5326,NA,0.4832,0.5084,18
5,73,5.1042,7.806,NA,0.6109,0.4895,8
5,75,5.6481,14.6237,NA,0.5643,0.5413,18
5,77,4.5152,9.0023,NA,0.4255,0.508,11
5,79,4.1111,3.6286,NA,0.4662,0.493,9
5,81,4.2051,6.7934,NA,0.4118,0.4708,13
5,83,5,11.979,NA,0.5315,0.4855,17
5,85,5.5132,15.823,NA,0.5474,0.4791,38
5,87,4.2436,2.2204,NA,0.5277,0.441,13
5,89,4.5476,9.0478,NA,0.4824,0.3983,14
5,91,6.3421,70.5229,NA,0.4437,0.4741,38
5,93,6.2442,44.6629,NA,0.5019,0.5283,43
5,95,5.4444,4.9988,NA,0.5807,0.6078,9
5,97,4.3958,2.7393,NA,0.5532,0.468,8
5,99,4.2708,4.4067,NA,0.4469,0.5024,8
5,101,4.3095,2.5659,NA,0.5133,0.4302,7
5,103,5.8013,27.2802,NA,0.5101,0.5097,26
5,105,4.4444,5.9868,NA,0.5112,0.3838,9
5,107,6.2708,45.9029,NA,0.479,0.5517,24
5,109,5.5,5.1741,NA,0.6435,0.5365,9
5,111,5.4783,22.8197,NA,0.4864,0.5405,23
5,113,5.3333,15.0913,NA,0.5688,0.516,16
5,115,6.3939,42.1579,NA,0.5194,0.558,33
5,117,5.5167,7.6816,NA,0.6291,0.5193,10
5,119,10.5269,81.369,533.5369,0.5577,0.509,291
5,121,4.6354,8.7556,NA,0.4942,0.4837,16
5,123,5.0679,23.0178,NA,0.4568,0.4422,27
5,125,5.7869,26.5817,NA,0.5351,0.4582,61
5,127,4.2593,4.7438,NA,0.4723,0.4851,9
5,129,4.2,2.4647,NA,0.4729,0.422,10
5,131,7.5484,80.9049,NA,0.5417,0.5169,93
5,133,5.5303,22.6557,NA,0.5044,0.5229,11
5,135,5.2037,15.9796,NA,0.5479,0.4487,18
5,137,5,8.7593,NA,0.6106,0.453,10
5,139,6.3415,42.1149,NA,0.4739,0.6073,41
5,141,4.5641,5.9814,NA,0.5117,0.4597,13
5,143,8.0015,52.2408,591.8417,0.5739,0.5305,111
5,145,5.971,25.6442,NA,0.596,0.5151,46
5,147,4.9792,6.3269,NA,0.508,0.56,8
5,149,4.8137,12.2919,NA,0.4749,0.5331,17
6,1,14.1388,144.7382,377.7703,0.5575,0.4885,1047
6,3,4.8333,0.5995,NA,0.4862,0.7094,2
6,5,6.5357,6.2453,785.36,0.6612,0.5338,28
6,7,7.059,60.329,742.0229,0.5215,0.4992,195
6,9,6.3833,6.8134,855.635,0.6819,0.5201,30
6,11,6.65,101.8637,NA,0.4999,0.5813,20
6,13,11.4922,103.9196,448.4867,0.5781,0.4823,637
6,15,8.6917,41.7877,386.54,0.564,0.4613,20
6,17,8.3707,41.0261,388.3122,0.5808,0.4712,125
6,19,11.1188,76.7485,505.2684,0.5186,0.5563,589
6,21,6.3986,33.564,830.15,0.4512,0.6384,23
6,23,10.554,62.6283,485.2397,0.6081,0.5303,108
6,25,8.5694,70.7761,755.05,0.5305,0.6235,96
6,27,6.9063,15.5631,899.89,0.6514,0.5776,16
6,29,10.3231,68.4016,570.9888,0.5093,0.5017,456
6,31,10.8251,76.5463,520.5162,0.5118,0.5341,81
6,33,9.441,38.0225,453.3943,0.5694,0.5458,48
6,35,7.74,28.6588,465.503,0.5964,0.4708,25
6,37,13.5723,137.3161,403.8869,0.5567,0.5253,6425
6,39,8.9167,53.7444,617.2332,0.5115,0.5454,80
6,41,11.9,84.8078,581.3913,0.661,0.5293,175
6,43,4.8333,2.3458,1126.54,0.5811,0.4456,17
6,45,9.0169,35.6669,441.9361,0.6125,0.5885,79
6,47,10.9525,65.3592,517.5872,0.4928,0.5458,144
6,49,6.8194,23.6288,876.1967,0.5356,0.5539,12
6,51,9.8039,36.1395,391.472,0.5669,0.6093,17
6,53,11.8791,95.8243,447.2345,0.5252,0.5264,233
6,55,8.1274,82.2571,878.88,0.5732,0.5696,106
6,57,7.7867,24.0191,459.3043,0.6191,0.5014,75
6,59,13.1737,138.4026,558.552,0.5989,0.5084,1823
6,61,10.2308,67.37,498.734,0.6229,0.5456,213
6,63,7.9773,7.2651,629.1073,0.6174,0.5339,22
6,65,10.7293,72.357,564.2006,0.5537,0.5025,1030
6,67,12.5303,117.9725,533.2286,0.5478,0.503,912
6,69,10.4208,81.3507,431.7288,0.5195,0.5523,40
6,71,10.918,77.6502,580.1754,0.536,0.4897,1092
6,73,12.1866,111.8428,513.3017,0.5811,0.4841,1795
6,75,15.9573,217.5588,266.2507,0.6177,0.5313,581
6,77,11.057,89.3168,517.2703,0.5109,0.539,395
6,79,10.7444,65.1689,516.1981,0.6068,0.551,163
6,81,10.0695,132.2069,695.6825,0.6048,0.5061,463
6,83,10.4957,114.7339,576.225,0.5317,0.5252,313
6,85,13.5549,147.0944,530.1909,0.5868,0.5157,1075
6,87,11.977,87.4499,415.9494,0.6116,0.5555,196
6,89,8.9377,35.0364,596.295,0.5976,0.5238,131
6,91,5.1,1.2727,NA,0.67490000000000006,0.5159,5
6,93,8.5811,26.3938,595.3667,0.6986,0.5615,37
6,95,12.224,96.393,361.4228,0.5178,0.4782,285
6,97,10.8635,72.1249,470.8175,0.5861,0.5307,387
6,99,12.0227,84.5771,483.1841,0.5365,0.5362,308
6,101,10.7957,75.6096,497.419,0.5541,0.5718,62
6,103,8.4147,30.8616,507.48,0.5664,0.5391,43
6,105,5.8718,3.4767,711.24,0.6427,0.3951,13
6,107,7.3562,61.8053,894.4133,0.4827,0.5554,270
6,109,6.3021,23.6765,757.0625,0.5704,0.4983,48
6,111,11.6915,96.6322,485.001,0.5843,0.5236,430
6,113,12.929,102.5432,420.0464,0.5692,0.5349,122
6,115,9.6156,64.6426,389.1093,0.4973,0.4765,49
